name,emotion
Ses04M_impro03_M009,5
Ses04F_script01_3_M012,10
Ses02F_impro05_M011,6
Ses02F_script02_1_F003,10
Ses03F_script02_1_M041,2
Ses04M_script01_3_M034,8
Ses01M_script02_1_M020,4
Ses02M_script02_2_M008,4
Ses04F_impro03_M015,10
Ses05M_script02_1_F000,8
Ses02F_script02_1_F010,10
Ses05F_impro04_M031,6
Ses02F_impro03_M020,5
Ses01M_script03_1_M007,10
Ses03M_script02_1_F003,10
Ses01M_impro03_M014,6
Ses04F_script02_2_M002,10
Ses01M_script01_3_M012,10
Ses02M_script03_1_F017,10
Ses05M_script02_1_F016,8
Ses02F_impro02_M000,10
Ses03F_script01_1_M003,6
Ses02M_script03_2_F020,10
Ses02F_script02_2_F020,8
Ses01M_script03_1_F012,10
Ses04F_impro02_M023,4
Ses01F_script01_3_F025,10
Ses01M_impro06_F015,6
Ses01M_impro05_F013,6
Ses04M_impro03_F013,10
Ses05M_script02_1_F002,10
Ses01F_impro03_M014,5
Ses04F_impro07_F077,10
Ses02F_script02_1_M027,4
Ses04M_script03_1_M029,2
Ses02F_script01_1_M020,4
Ses04F_script01_1_M010,0
Ses02M_script03_2_F023,0
Ses01F_impro06_F025,8
Ses05F_impro05_F029,10
Ses05F_impro02_M039,9
Ses02F_script02_2_M041,5
Ses03M_script01_1_F025,4
Ses03M_script03_1_M009,10
Ses02F_script02_1_M035,2
Ses04M_impro08_F010,4
Ses02M_script01_3_F004,10
Ses05F_impro03_M054,10
Ses03M_script02_1_F013,4
Ses01F_script03_2_F035,0
Ses05F_impro02_M028,10
Ses05F_impro02_M001,10
Ses02M_impro03_M025,10
Ses04F_script01_2_M011,4
Ses01M_impro01_M000,4
Ses04F_impro06_F005,8
Ses04F_impro05_M018,4
Ses03M_script01_1_F035,10
Ses05F_script01_3_F002,5
Ses04F_impro08_M010,10
Ses03F_script01_1_F011,4
Ses01F_script01_1_M015,6
Ses01M_impro01_F005,10
Ses02F_script02_1_F012,10
Ses01M_impro02_F003,4
Ses02F_impro03_F024,2
Ses03F_impro06_F030,8
Ses02M_impro07_M019,2
Ses05M_impro07_F017,6
Ses05M_script03_2_M013,10
Ses02M_impro03_M002,10
Ses01F_script01_2_F005,0
Ses01M_script03_1_F018,5
Ses03F_script03_2_M027,0
Ses04F_script01_2_M003,10
Ses01F_script03_1_F025,10
Ses01F_script02_1_M009,6
Ses01F_script03_2_F025,0
Ses01F_script01_2_F007,0
Ses03F_impro07_F025,5
Ses02M_script01_1_F024,4
Ses02M_script03_2_M043,0
Ses05M_script02_1_M014,10
Ses03F_impro06_M014,8
Ses04M_impro01_F003,4
Ses03M_impro05b_M011,0
Ses03F_impro02_F029,8
Ses04F_script03_1_M004,10
Ses04F_script03_1_M005,10
Ses02F_script02_2_F033,8
Ses02F_impro06_F001,8
Ses04M_script03_1_M017,10
Ses05F_impro08_M032,10
Ses01F_impro02_M008,4
Ses03M_script03_2_F014,0
Ses04M_script01_1_M041,6
Ses03F_script02_2_F035,0
Ses02F_impro03_F017,5
Ses02M_impro07_M028,10
Ses04M_impro04_M007,4
Ses02F_impro07_F002,2
Ses03M_impro08a_M013,6
Ses05F_impro01_M012,4
Ses04F_script01_1_M017,6
Ses05F_script02_2_M027,4
Ses05F_impro02_F021,8
Ses01M_script02_1_M024,4
Ses01M_script01_3_F024,8
Ses04F_impro07_M066,6
Ses05F_impro02_F025,4
Ses01M_script01_1_F008,0
Ses01F_impro02_F018,6
Ses02M_script02_2_F034,8
Ses02F_script01_2_M010,4
Ses04F_script01_1_M042,4
Ses01F_script03_2_M038,0
Ses02M_script01_3_F022,10
Ses05F_impro02_F001,8
Ses04M_script03_2_F038,10
Ses05M_script02_2_F002,10
Ses01M_impro06_F026,6
Ses03F_script02_1_M034,4
Ses05M_impro03_M008,5
Ses01F_script02_2_M007,4
Ses02F_impro01_F014,4
Ses02F_impro03_F001,2
Ses01M_script01_3_M007,6
Ses05F_impro04_M004,6
Ses03F_script01_3_F007,10
Ses03F_script02_2_F016,8
Ses05M_impro04_M032,4
Ses03M_impro05b_M003,4
Ses04M_impro02_M023,4
Ses05F_script02_2_F008,4
Ses04M_impro03_F010,2
Ses05F_script02_2_F015,5
Ses02F_script01_3_M015,10
Ses03M_impro03_M000,2
Ses05F_script01_2_M012,4
Ses04F_impro03_F000,2
Ses03F_script03_1_M015,10
Ses04M_impro07_M037,6
Ses05F_script03_2_F023,0
Ses01M_impro01_F012,0
Ses05M_script03_1_F011,6
Ses01F_script01_1_F042,0
Ses05M_impro04_F007,6
Ses05M_impro04_F003,6
Ses03F_script01_1_M046,0
Ses03M_impro07_F000,5
Ses05F_impro08_M012,4
Ses05F_script01_3_M007,10
Ses05F_script02_2_M022,4
Ses01F_script02_1_M018,4
Ses03M_impro07_F020,10
Ses03M_impro03_M002,2
Ses04F_script01_2_M009,4
Ses03F_script01_3_M043,8
Ses03F_script03_1_F019,2
Ses05F_impro02_M018,10
Ses05M_impro03_M004,5
Ses04M_impro08_M024,6
Ses04F_script03_2_M039,0
Ses03M_script01_1_M045,8
Ses05F_impro07_M010,10
Ses01M_script02_2_F030,0
Ses03M_impro08a_F008,4
Ses01M_script03_1_M020,10
Ses01M_script01_2_M007,6
Ses05F_impro04_M023,4
Ses03M_impro08a_M016,6
Ses03F_impro06_F033,8
Ses02M_impro06_F000,10
Ses03M_script01_3_F020,5
Ses01F_script01_1_M034,6
Ses01F_impro07_M013,6
Ses01F_impro07_M000,2
Ses03F_impro02_F023,8
Ses04F_script03_1_M016,10
Ses03F_script03_2_M011,6
Ses01M_script03_2_M008,10
Ses05F_impro06_M006,8
Ses03F_script02_1_M030,9
Ses01M_impro01_M030,0
Ses04F_impro07_M013,6
Ses02M_impro03_F001,2
Ses03M_impro05b_M008,0
Ses01F_impro07_M018,6
Ses02F_script03_1_F020,5
Ses04F_script02_2_F003,10
Ses05M_script02_2_M035,5
Ses04M_impro07_M017,10
Ses02M_impro05_M022,10
Ses05M_script03_1_M017,10
Ses03M_impro03_M032,5
Ses02M_impro03_M021,5
Ses04F_impro08_F017,4
Ses04F_impro02_M011,10
Ses04M_impro08_F004,10
Ses01M_impro01_M026,4
Ses01M_impro01_F028,10
Ses02F_impro02_M002,4
Ses05M_impro07_F003,2
Ses03F_script02_2_F011,10
Ses05F_impro05_M031,6
Ses03M_script02_2_M029,0
Ses04F_script01_3_F001,10
Ses04F_impro03_F024,10
Ses04F_impro05_M010,4
Ses04M_impro02_F016,4
Ses04M_script03_1_F025,2
Ses02F_impro02_M003,4
Ses03M_impro02_M008,4
Ses04M_script02_1_F005,0
Ses05M_impro02_M026,10
Ses03F_script03_1_F010,10
Ses03M_impro02_F016,8
Ses03M_impro03_F029,9
Ses05F_script01_1_F029,10
Ses01M_impro02_F012,10
Ses01M_impro04_M003,4
Ses05M_script03_2_F031,10
Ses02F_script02_2_M018,6
Ses04F_script03_1_F021,2
Ses05M_script01_1_M027,10
Ses04M_script01_1_F016,10
Ses03F_script01_2_M005,4
Ses05M_script01_3_M013,5
Ses04M_impro08_M015,4
Ses04M_impro06_F000,8
Ses01M_script03_1_M005,10
Ses03F_impro05_F009,0
Ses05F_impro02_F007,10
Ses04F_script02_2_M026,4
Ses02F_script02_2_F041,5
Ses01F_impro05_F022,0
Ses05M_impro07_F042,2
Ses04F_script03_1_F017,6
Ses04F_impro04_F008,0
Ses01F_impro05_M026,6
Ses02M_script02_2_F021,8
Ses04F_impro07_M054,10
Ses01M_impro07_M000,2
Ses04M_impro06_F013,10
Ses01M_script01_3_F007,10
Ses01F_impro01_F015,4
Ses01M_impro01_F023,10
Ses04F_script01_1_F030,0
Ses04M_script01_1_F012,0
Ses03F_script02_2_F038,8
Ses01M_script01_3_M013,10
Ses05F_script03_1_M010,10
Ses01F_script03_2_M035,0
Ses03M_impro06_F004,8
Ses01F_impro02_M002,10
Ses03M_script01_3_M003,10
Ses05M_script01_3_F013,2
Ses01F_script03_1_M021,2
Ses03F_script02_1_F009,10
Ses05M_script01_1b_M027,4
Ses05M_script01_3_M008,10
Ses04F_impro05_F013,0
Ses04F_impro07_M081,10
Ses03F_impro06_M009,8
Ses03M_script03_1_F018,8
Ses02F_script01_1_M036,0
Ses01F_impro03_F023,6
Ses05M_impro08_F003,4
Ses03F_script01_2_F001,0
Ses04M_script03_1_F027,2
Ses01F_impro06_F022,8
Ses01M_impro05_F026,6
Ses05M_script01_1_M001,10
Ses04M_script01_1_F008,9
Ses02M_impro08_F002,2
Ses01M_impro07_F020,6
Ses02M_script01_3_F018,10
Ses03M_script01_1_M018,10
Ses01M_script01_1_F022,4
Ses02F_script03_2_M045,0
Ses01M_script03_2_M025,0
Ses02M_impro03_M028,5
Ses05M_impro07_F024,6
Ses05M_script01_1_F024,6
Ses02M_impro01_M004,6
Ses04M_impro08_M022,6
Ses03M_impro05a_F005,6
Ses04F_script02_2_F039,4
Ses04M_impro07_M025,6
Ses03F_script02_1_F017,4
Ses02M_impro08_M029,6
Ses01F_script02_1_F005,10
Ses05F_impro03_F001,2
Ses04M_script03_1_M019,10
Ses04F_impro08_F003,4
Ses04M_impro08_M025,6
Ses01F_script03_1_M035,10
Ses03F_script02_1_M003,2
Ses02M_impro04_M022,8
Ses02F_impro07_F009,2
Ses02M_impro03_F011,2
Ses05F_script01_2_F007,4
Ses05M_impro02_F011,10
Ses02M_script01_1_F002,10
Ses02F_script02_2_M010,6
Ses03M_script02_1_F012,10
Ses01F_script01_3_F004,6
Ses04M_script01_3_F005,10
Ses05F_impro03_M023,10
Ses01M_script01_1_F024,0
Ses03M_script02_2_M005,4
Ses05F_impro04_F031,4
Ses01M_impro06_M029,8
Ses05F_impro07_F028,2
Ses03M_impro07_M007,2
Ses04F_script01_1_F037,0
Ses02M_script03_2_F012,6
Ses04F_script03_1_F028,2
Ses01F_impro04_M011,6
Ses04F_script03_2_M018,10
Ses03F_script03_2_M040,0
Ses05M_script03_1_F008,10
Ses03M_impro02_F002,10
Ses02M_impro07_M006,2
Ses02M_impro07_M011,5
Ses02M_impro04_M003,4
Ses01M_impro01_M033,4
Ses02F_impro04_M011,6
Ses05M_impro03_M033,5
Ses04F_impro04_F020,4
Ses03M_impro04_M016,4
Ses03F_script01_3_F014,5
Ses02M_impro03_M024,2
Ses03M_script02_2_F032,4
Ses01F_impro02_M003,4
Ses03M_impro01_F025,0
Ses03F_script01_3_F035,5
Ses01M_script01_1_F021,10
Ses01F_script03_1_F007,2
Ses05M_impro07_M043,2
Ses02F_impro07_M027,2
Ses05F_script02_1_M021,2
Ses01F_impro07_F009,2
Ses01F_script02_2_F033,4
Ses02M_script01_3_M012,10
Ses01M_script02_2_F012,4
Ses05M_impro05_F002,6
Ses03F_impro07_F031,6
Ses03M_script01_3_F027,10
Ses03F_script02_2_F017,8
Ses03F_script01_2_F011,8
Ses05M_script03_1_M019,10
Ses02M_impro07_F022,2
Ses04F_impro08_F001,6
Ses04M_impro03_F011,2
Ses02M_impro08_M005,6
Ses04M_impro04_M001,4
Ses04F_script01_3_M002,10
Ses05M_script03_1_F028,10
Ses02F_impro08_M017,10
Ses02F_impro01_F013,4
Ses02F_impro01_F000,6
Ses03M_script02_2_F018,8
Ses04M_impro02_F013,4
Ses01F_script02_2_F008,0
Ses02F_script03_1_F017,6
Ses04M_impro06_M006,8
Ses03F_script01_3_F001,5
Ses05M_script03_2_M000,10
Ses02M_impro08_F028,5
Ses01F_impro03_M019,6
Ses01M_impro04_F020,6
Ses01F_script01_2_F012,0
Ses05M_script02_2_M007,4
Ses02F_script02_1_F019,6
Ses02F_script03_1_F021,5
Ses02M_impro08_M021,6
Ses05F_script01_1_F005,8
Ses05M_script01_3_F025,8
Ses04M_script03_2_M033,0
Ses01M_impro01_M021,10
Ses02M_script02_1_F021,6
Ses04M_impro04_M011,4
Ses05F_impro08_M005,0
Ses01M_script03_1_F027,10
Ses01M_impro05_F022,6
Ses03M_impro03_F024,2
Ses04F_script01_3_M038,10
Ses03F_impro06_F017,8
Ses05M_impro07_F009,2
Ses03M_impro01_F000,6
Ses01M_script01_3_F029,10
Ses05F_impro07_F002,2
Ses01M_impro04_F019,6
Ses01F_script02_2_M011,4
Ses02F_script03_1_M034,6
Ses05F_impro02_F012,8
Ses03M_impro07_M013,2
Ses01F_script02_2_F039,10
Ses04M_script02_1_M030,2
Ses02F_script01_3_F012,5
Ses02M_script01_1_M005,8
Ses04F_script03_2_F026,0
Ses05F_script01_2_F011,0
Ses05F_script03_1_M026,2
Ses01M_script01_2_M001,6
Ses04M_script01_1_M024,4
Ses03F_script01_3_F026,8
Ses04M_script02_2_F008,10
Ses03M_impro06_M020,8
Ses05F_impro01_F005,4
Ses02F_script02_1_M031,6
Ses05M_script02_2_M040,5
Ses04M_impro01_F008,4
Ses01F_script03_2_F016,0
Ses05M_impro03_F024,10
Ses02M_impro03_M030,2
Ses02F_script02_1_F009,10
Ses02M_script02_1_F003,4
Ses03M_script02_1_M029,10
Ses02F_script01_3_M018,10
Ses05M_script01_1_M008,10
Ses02F_script01_3_M024,8
Ses04F_impro05_M012,4
Ses01M_impro06_F023,6
Ses04M_impro05_M013,4
Ses03M_impro04_F021,10
Ses03M_impro08a_F030,4
Ses01F_script03_2_F037,0
Ses02M_impro08_M007,6
Ses01F_script03_2_M010,6
Ses03F_impro03_M008,10
Ses03M_script01_1_M028,6
Ses03F_script01_2_F010,10
Ses05F_impro05_M018,6
Ses03M_script02_1_F016,6
Ses05M_script03_2_F012,6
Ses03F_impro08_M015,0
Ses01M_impro01_F008,0
Ses04M_script01_2_M012,4
Ses03M_impro04_M022,4
Ses01F_impro06_M016,6
Ses03M_impro05b_F013,6
Ses04F_script03_2_M005,0
Ses04F_script03_2_F039,0
Ses01F_impro04_M025,6
Ses04M_impro07_F032,10
Ses04M_impro05_F004,10
Ses02F_impro06_M017,6
Ses05F_impro02_F009,8
Ses02M_impro04_M002,4
Ses04F_script03_1_M028,6
Ses01M_script03_1_F031,2
Ses03M_script03_1_F000,10
Ses03M_impro06_M007,8
Ses03M_script01_2_M008,6
Ses05F_script01_3_F013,10
Ses01M_impro02_F000,6
Ses04M_script03_2_M016,4
Ses01F_impro07_F011,10
Ses04M_script01_3_M012,10
Ses02M_script01_1_M011,4
Ses05F_script01_1_F022,10
Ses01M_script03_1_M037,2
Ses02M_impro06_M006,8
Ses01F_script03_1_M002,3
Ses05F_script02_2_F028,8
Ses05M_script01_3_M027,8
Ses03M_script02_2_M003,4
Ses01M_impro07_M002,2
Ses01F_script01_1_M000,6
Ses03M_script03_1_M014,10
Ses01F_script02_2_F010,0
Ses02M_impro05_F015,6
Ses03F_script03_2_M036,10
Ses04M_script03_2_F022,0
Ses01F_impro05_F016,0
Ses05F_impro01_F013,4
Ses01M_script01_1_M007,8
Ses01M_script03_2_F039,0
Ses05F_script03_2_M029,10
Ses03F_script02_1_M013,2
Ses02M_impro05_F004,6
Ses05F_impro06_F028,10
Ses04M_script01_2_F003,0
Ses02F_impro08_F009,6
Ses01F_script03_2_F012,10
Ses02F_impro02_F011,8
Ses04F_impro01_M018,4
Ses02F_script03_2_M031,10
Ses01M_impro02_F020,10
Ses05F_impro08_M017,10
Ses03F_script01_2_M013,0
Ses04F_script01_3_M041,8
Ses04M_impro06_M000,8
Ses05M_impro07_M037,2
Ses04M_script02_2_F007,0
Ses05F_impro02_M021,10
Ses03M_script02_2_M006,4
Ses01M_script01_1_M009,10
Ses05M_script02_1_F013,4
Ses03M_impro03_M020,5
Ses05M_impro03_M020,2
Ses03M_script02_2_F008,4
Ses04M_script01_3_M008,10
Ses02F_script03_1_M009,6
Ses04M_impro08_F013,4
Ses05F_impro03_F008,2
Ses05F_impro07_F033,2
Ses05F_impro07_F030,2
Ses03F_script01_1_F029,4
Ses04M_script02_1_M014,6
Ses05M_script01_1_F000,8
Ses03M_script01_3_M034,8
Ses01M_script01_2_M009,4
Ses05M_script03_1_M015,2
Ses01F_impro02_F015,8
Ses03M_script01_3_M007,10
Ses04M_script03_1_M004,2
Ses01M_script01_2_F007,10
Ses04F_impro07_M072,6
Ses04M_script03_1_M016,8
Ses05M_script01_1b_F037,4
Ses05F_impro06_F012,8
Ses02M_impro03_M001,2
Ses04F_script03_1_M027,6
Ses04F_impro02_M007,10
Ses02M_script03_2_M014,10
Ses03F_script03_1_M008,10
Ses05M_impro07_F030,6
Ses03M_impro05b_M030,4
Ses03F_script01_3_M018,5
Ses05F_script03_2_M000,10
Ses04M_script02_1_M022,2
Ses05F_impro06_M024,6
Ses05F_impro04_M026,6
Ses03F_impro01_F003,4
Ses04M_script02_2_M014,4
Ses01F_impro04_F022,4
Ses01M_impro03_F010,2
Ses04F_script02_2_F037,8
Ses05F_impro03_F020,2
Ses03M_script01_3_F012,5
Ses03M_script01_1_M017,6
Ses01F_impro07_M016,10
Ses04F_impro03_M018,6
Ses05F_script01_2_M000,6
Ses02F_script02_2_M008,4
Ses03M_impro05a_M013,0
Ses04M_impro05_M027,4
Ses01M_script01_1_F003,9
Ses04F_impro04_M019,6
Ses04M_impro04_M012,4
Ses03M_script03_2_M038,0
Ses02M_script02_2_F009,4
Ses05M_script01_1_F028,4
Ses03M_script02_2_M022,6
Ses01M_script01_1_F023,0
Ses01M_impro07_F006,2
Ses04M_impro06_M005,8
Ses01M_impro06_F020,6
Ses04F_script03_1_F008,10
Ses04M_impro07_F007,2
Ses03M_impro03_F019,10
Ses01M_script02_1_M033,10
Ses03F_impro02_M016,8
Ses01F_impro04_M035,4
Ses01M_impro04_F018,6
Ses05F_script01_1_F028,6
Ses05F_impro04_M016,6
Ses02F_script02_1_M033,6
Ses02F_script03_2_F029,0
Ses03F_impro07_F024,10
Ses05F_impro04_F015,8
Ses03M_impro05b_M029,0
Ses04F_script02_1_F020,4
Ses04M_script02_2_F014,10
Ses04M_impro02_F011,4
Ses03F_impro07_F021,2
Ses04M_script01_3_F002,10
Ses04M_impro05_M041,4
Ses02M_impro02_M006,10
Ses05M_script01_3_M003,6
Ses02F_impro03_F000,2
Ses02F_impro06_M010,6
Ses03M_impro08a_F022,0
Ses04M_script01_3_F004,10
Ses01M_impro02_M014,8
Ses04M_script01_1_M027,10
Ses01M_script01_1_M010,4
Ses05M_script02_2_M027,10
Ses01M_impro07_F004,2
Ses03M_script01_2_M012,4
Ses05M_impro04_M004,4
Ses05F_impro01_M022,10
Ses01M_script02_1_M001,2
Ses03M_impro06_M010,8
Ses03F_script03_1_F001,6
Ses01F_impro05_F014,0
Ses02M_impro07_F014,5
Ses04M_impro08_M016,4
Ses04M_script01_3_M011,10
Ses01M_script03_2_F026,0
Ses03F_script01_2_F005,10
Ses05F_impro02_M014,0
Ses03F_impro04_F015,10
Ses01M_impro07_F003,2
Ses04F_impro01_M008,0
Ses05M_script03_1_M021,2
Ses05F_script03_2_M005,0
Ses05F_impro04_M018,10
Ses03M_impro03_F035,10
Ses01F_script03_2_M032,0
Ses03F_impro01_M001,6
Ses01M_script02_1_M019,10
Ses01F_impro02_F012,8
Ses01M_script02_1_F002,9
Ses05M_script03_2_M040,0
Ses05F_impro03_F056,5
Ses05F_impro01_F002,4
Ses01F_script01_1_M023,6
Ses03F_script02_2_M039,5
Ses04F_script02_1_M023,2
Ses04F_script02_2_M017,10
Ses05F_script02_2_M036,5
Ses02F_script03_2_M007,0
Ses02M_impro03_M004,10
Ses05M_script01_1_M016,6
Ses03F_impro02_F006,10
Ses01F_script02_1_F010,8
Ses03F_impro03_F014,5
Ses01F_impro07_M011,10
Ses04F_impro02_M004,8
Ses05F_impro07_M013,2
Ses01M_script02_2_F004,10
Ses03F_script02_1_M011,2
Ses04M_script02_2_M015,4
Ses05M_script01_1_F026,6
Ses04M_impro08_F017,4
Ses05M_impro05_F006,6
Ses05F_script01_2_F017,0
Ses05M_script01_1_M038,4
Ses03M_script02_1_M043,2
Ses03M_impro04_F024,4
Ses02M_script03_2_M044,0
Ses05M_script03_1_M002,3
Ses04F_script02_1_F022,0
Ses05F_impro03_M014,10
Ses01M_impro02_F005,4
Ses01M_script03_1_F001,3
Ses05M_script02_2_F001,6
Ses04F_impro07_F058,2
Ses02F_script02_2_M031,8
Ses02F_impro05_M004,6
Ses05F_script02_2_M011,4
Ses02M_impro04_M006,4
Ses05M_impro03_M025,5
Ses03M_script03_2_M021,6
Ses02F_script01_2_F012,0
Ses01F_script03_2_M020,0
Ses02M_impro08_M003,6
Ses03M_impro05a_F024,6
Ses04M_impro02_M001,10
Ses01M_script01_1_F012,4
Ses04F_impro03_F027,10
Ses04F_script03_2_F010,10
Ses04M_impro07_M001,2
Ses02M_script02_2_F029,4
Ses03M_impro01_F024,4
Ses01M_script01_3_M028,8
Ses04F_script02_2_M022,10
Ses05M_impro02_M022,8
Ses03M_impro05a_M006,0
Ses04M_impro02_F018,4
Ses03M_impro08b_F002,4
Ses01F_impro02_F011,10
Ses05F_impro03_M050,2
Ses02M_impro08_F018,3
Ses05F_impro05_M017,6
Ses05M_script02_1_F005,10
Ses01M_impro01_M010,6
Ses04M_impro03_M005,5
Ses03F_script02_1_M022,6
Ses03M_script02_2_M004,4
Ses01M_script02_1_M042,2
Ses04F_impro04_M007,6
Ses05M_script01_1b_F016,4
Ses05F_impro05_F010,6
Ses04M_script01_1_M034,8
Ses02M_impro04_F007,6
Ses02F_impro07_F000,10
Ses01F_impro07_M003,2
Ses04F_impro08_F005,6
Ses01F_impro04_F012,10
Ses05M_script03_1_M025,2
Ses01M_impro03_F018,6
Ses05M_script01_3_F001,5
Ses01M_script01_3_M021,8
Ses01M_impro07_M021,9
Ses05M_script01_3_M010,2
Ses05F_impro02_M040,10
Ses05M_impro03_M018,5
Ses02M_script01_3_M018,10
Ses05M_script02_2_M025,0
Ses04M_script03_1_M000,3
Ses03M_impro04_F012,10
Ses02F_script01_3_F026,8
Ses04F_script02_2_M033,4
Ses03M_impro05a_F014,6
Ses02F_impro07_F027,2
Ses05M_script02_2_F020,10
Ses05M_script01_3_F019,8
Ses04F_script01_1_M001,10
Ses04F_script03_1_F014,2
Ses04F_script03_2_M033,10
Ses02F_script02_2_M034,6
Ses03F_script02_1_M008,10
Ses05F_impro06_M019,6
Ses03M_script02_1_F005,6
Ses03M_impro08a_F027,4
Ses04M_script01_3_M024,8
Ses04F_impro03_M012,10
Ses04F_script01_2_M017,0
Ses03M_script02_2_M016,10
Ses02F_impro01_F011,4
Ses04M_script02_2_F030,10
Ses05M_script03_2_M033,0
Ses04F_impro02_F007,8
Ses05F_impro07_F005,2
Ses04F_impro07_F024,2
Ses04F_script03_2_M028,4
Ses04M_script01_1_M000,6
Ses02M_script03_1_M028,10
Ses04F_script03_2_M031,0
Ses03M_script02_2_M019,6
Ses03F_impro07_M010,10
Ses01M_impro04_M007,10
Ses04M_script01_1_F031,4
Ses04M_script02_2_M034,0
Ses05F_impro05_F045,4
Ses03F_script02_2_F036,8
Ses01M_impro03_M020,2
Ses02M_script03_2_M041,0
Ses04F_script02_1_F005,10
Ses05F_impro01_M019,4
Ses05F_impro02_F018,4
Ses02M_impro04_F006,6
Ses05F_script03_2_F014,6
Ses05M_impro04_M001,4
Ses04M_script01_3_F027,5
Ses03F_script02_2_F034,4
Ses02F_script01_3_F009,8
Ses03M_script01_1_F017,0
Ses02F_script03_1_M003,10
Ses01M_impro01_M001,4
Ses03F_impro07_M013,2
Ses01F_script01_1_F016,10
Ses02F_script01_1_F035,9
Ses05F_impro04_F039,6
Ses04F_script03_2_M006,0
Ses05M_impro04_F002,6
Ses03M_script01_3_M022,10
Ses02M_impro03_F015,2
Ses03M_impro02_M018,4
Ses04F_impro06_M007,6
Ses05F_impro04_M015,6
Ses02M_script01_2_M008,4
Ses04M_impro07_F003,2
Ses02M_script01_3_M029,8
Ses04M_script01_2_M014,4
Ses03F_impro04_F022,8
Ses02F_script03_2_M006,0
Ses04M_script01_1_M002,10
Ses01M_script03_2_M040,0
Ses02M_script03_1_F018,10
Ses05M_script01_3_F015,2
Ses03M_script02_2_M020,6
Ses02M_script02_2_F020,8
Ses04F_script03_1_F007,2
Ses02M_script01_2_M000,10
Ses04F_script02_1_F017,0
Ses01F_script02_2_M045,10
Ses05M_impro05_M021,4
Ses04F_script02_1_M002,2
Ses01F_impro05_M027,6
Ses01F_script03_1_M026,5
Ses05F_impro03_F053,5
Ses04M_script03_2_M045,10
Ses02M_script03_2_F015,6
Ses04F_impro03_M030,6
Ses03M_script01_2_M007,10
Ses02F_impro03_M010,5
Ses03M_impro08b_F014,4
Ses02F_script03_2_M039,0
Ses03M_impro05a_F020,4
Ses02F_impro03_F022,10
Ses01F_script03_1_M037,5
Ses03M_script01_2_M015,0
Ses03M_impro03_M011,2
Ses01M_impro05_F003,6
Ses03M_impro03_M013,2
Ses05F_impro03_M018,10
Ses04M_impro06_F006,8
Ses05F_script03_1_M000,2
Ses03F_impro04_F003,4
Ses03M_script01_3_M041,8
Ses02F_script02_1_F001,6
Ses05F_script01_3_F021,6
Ses05M_script01_1b_M023,10
Ses03F_script02_1_M018,9
Ses05M_script01_1_M018,4
Ses04M_impro02_F027,4
Ses02M_script03_1_F007,5
Ses04M_impro08_M014,4
Ses03M_script02_2_M013,4
Ses05F_script02_2_M009,4
Ses03M_impro05a_M004,0
Ses04F_impro07_F052,2
Ses04M_impro01_F021,0
Ses04F_script01_1_F007,10
Ses02F_script03_1_F030,10
Ses05M_impro06_M014,8
Ses01F_script01_3_M019,5
Ses04M_script02_2_M024,4
Ses04M_impro07_M007,5
Ses03M_script02_2_F024,8
Ses04F_script01_3_F008,10
Ses02M_impro06_F005,8
Ses01M_impro03_M011,2
Ses04M_impro01_M016,4
Ses01M_script02_1_M012,10
Ses05F_impro05_F007,6
Ses05M_impro01_M000,10
Ses05F_impro02_M031,8
Ses02F_script03_2_F002,10
Ses05M_script01_3_M040,8
Ses03F_impro06_M013,8
Ses04F_script01_3_F014,5
Ses04F_impro03_F049,10
Ses02M_script01_3_F016,10
Ses04M_script01_1_M042,4
Ses05F_script01_2_M010,4
Ses05M_script01_1_M037,0
Ses03F_impro07_F008,2
Ses03M_script02_2_F006,10
Ses04M_impro05_M022,0
Ses05M_script02_2_F029,8
Ses02M_script01_3_F000,10
Ses04M_script01_3_F009,10
Ses01F_script01_2_M005,10
Ses04F_impro03_F016,2
Ses03M_impro07_M004,2
Ses05M_impro02_F004,10
Ses02M_script02_1_F019,4
Ses02F_script01_1_M040,6
Ses04M_impro06_F015,8
Ses05M_impro05_F003,6
Ses04F_script02_1_M011,5
Ses05F_impro05_F002,6
Ses02M_script03_2_F040,0
Ses02M_script03_1_F008,10
Ses05F_script02_1_F007,6
Ses01F_script02_2_M034,10
Ses01F_script03_2_M031,6
Ses02F_impro08_M004,4
Ses04M_impro03_M029,5
Ses01F_script01_3_F018,10
Ses04M_script02_2_F034,10
Ses02F_script02_2_F028,10
Ses03F_script03_2_M015,0
Ses05F_script02_2_F003,10
Ses03M_script03_1_F004,2
Ses02F_script01_3_M034,8
Ses03M_impro05b_M027,0
Ses01F_script01_1_M026,4
Ses02F_script03_2_M028,4
Ses05M_impro06_M020,8
Ses02M_impro04_F005,6
Ses01M_script01_3_M025,8
Ses03F_script03_2_F004,6
Ses05M_script03_2_F019,10
Ses01M_impro06_M008,8
Ses05F_impro04_M042,6
Ses05F_impro04_F016,8
Ses02M_impro08_M011,6
Ses03M_script03_2_F024,0
Ses05F_impro08_F014,6
Ses02F_script02_1_M022,10
Ses01F_impro02_F007,10
Ses03F_script03_2_M019,10
Ses02M_script03_2_F016,10
Ses05M_impro04_F008,6
Ses05M_impro08_F022,5
Ses02M_impro07_M003,10
Ses05M_impro06_M000,8
Ses04F_impro07_M061,6
Ses05F_script03_1_F020,10
Ses04F_script02_2_M046,2
Ses03F_impro06_F005,8
